id,GenghisKhan
55792,no
109794,yes
289700,no
534335,yes
473956,yes
7026,yes
461169,no
285125,yes
395572,yes
577669,no
493896,no
397234,no
555572,no
355275,yes
267190,no
454962,yes
252515,no
191667,no
241020,yes
146382,no
64971,no
150664,no
266293,no
340973,no
296268,no
110782,no
197744,no
428835,no
482908,no
216453,no
573957,no
475518,no
7167,yes
492843,yes
162460,no
542943,no
16660,yes
256409,yes
562975,yes
290336,no
194859,no
70049,yes
224108,yes
483596,no
346071,no
10908,no
239115,no
340035,yes
228829,yes
74162,no
259023,no
157206,no
408239,no
296973,no
570731,no
517934,no
307803,no
157710,no
122613,no
561745,no
155633,yes
501054,no
407776,no
63486,yes
502073,yes
495714,yes
188280,no
242978,no
381308,yes
475843,no
388764,no
288558,yes
232970,yes
237824,yes
441877,no
280808,no
309879,yes
474953,no
185157,yes
519498,yes
439091,yes
51516,yes
587042,yes
247687,no
239897,no
306664,no
33985,no
185791,no
434528,no
85260,yes
99448,no
260462,no
333056,yes
194805,no
420072,yes
288159,yes
260516,no
363119,yes
491956,no
459416,no
352515,no
470151,no
148289,no
227190,no
255493,yes
112259,no
230403,no
336472,no
29091,no
572314,yes
195294,no
528383,no
474671,no
402303,no
387218,yes
299376,yes
194822,no
164803,yes
95349,no
96161,no
153297,yes
585664,no
124135,no
276289,no
563019,no
382707,no
501164,no
270407,no
186028,no
295722,no
53247,no
133578,no
494102,no
110926,no
117465,yes
247428,no
149472,no
224342,no
473107,no
400576,no
547620,yes
1657,yes
253501,no
362273,no
255312,no
455838,yes
485050,yes
369444,no
173250,no
66889,yes
570813,no
160220,no
154102,yes
123947,yes
355706,no
139488,no
402744,no
326691,no
353415,no
297915,no
80469,no
282161,no
466103,yes
479858,no
242936,yes
331536,no
470377,no
362631,no
508102,no
247302,no
291076,yes
97595,no
581773,no
115094,no
20343,yes
359745,no
185759,no
416123,yes
544984,no
1969,no
119344,yes
416579,no
380668,no
300311,yes
287042,yes
72591,no
544011,no
288710,yes
403565,yes
261607,no
197110,no
518644,no
109976,no
34527,no
65113,no
248043,yes
396876,yes
146080,no
395165,no
448832,yes
552129,no
291311,no
429403,no
170964,no
398054,no
448621,no
94480,no
329719,no
541105,no
108155,yes
267031,no
61524,no
69603,no
234763,no
209730,no
218853,yes
408792,no
391361,yes
594217,yes
346940,no
393668,no
234481,yes
220715,no
592475,no
227396,no
502196,no
404921,no
310982,no
192955,no
529372,no
153203,no
230349,no
381402,no
19558,no
108641,no
524244,no
320893,no
209692,no
512131,no
216618,yes
511026,no
85451,no
398904,yes
419342,yes
177917,no
249496,no
587166,no
284068,yes
167751,yes
138412,no
106509,no
414995,no
229297,no
105862,yes
48617,no
184145,no
297178,no
462268,no
2010,no
479187,no
176346,no
558740,no
181955,yes
180981,no
258805,no
13891,yes
177848,no
594308,no
288501,yes
168995,no
35860,no
88910,no
38034,no
426527,yes
325850,no
239286,no
404477,no
384784,yes
7605,yes
68457,no
555396,no
315572,no
302700,no
288426,no
523530,yes
295134,no
66114,no
151365,yes
360437,no
119944,no
236011,no
309761,no
240345,yes
98062,no
565588,no
365903,no
497413,no
229338,no
437283,no
429928,yes
231471,no
424315,no
383051,yes
539300,no
394494,no
500737,yes
429583,no
489196,yes
61821,no
138172,no
379484,no
78091,yes
25647,yes
286088,no
295172,no
312053,no
258019,yes
90426,no
467874,no
61266,no
176131,no
274908,no
268784,no
573726,no
472694,no
60513,no
380861,no
537895,no
429431,no
592990,no
208537,yes
496912,no
177060,no
99233,yes
338445,yes
160177,no
291851,no
595171,no
121447,no
244554,no
489567,yes
127126,no
162644,yes
344921,no
505390,no
473594,no
414643,no
12384,yes
543976,no
185879,no
377132,no
32319,no
163517,no
357162,no
499139,no
425732,no
183863,no
421113,no
439453,no
80342,no
389625,no
477212,no
140251,yes
376348,no
556133,no
372777,no
80417,yes
261584,no
333893,no
512653,no
265593,no
263668,no
237347,no
586431,no
577321,no
347527,yes
291319,no
398638,no
460698,no
463725,no
425620,no
528655,yes
342754,no
259880,no
94953,no
85403,yes
468680,no
255693,no
590553,yes
178798,no
37769,yes
589547,no
307060,no
537360,no
487624,no
581362,no
50128,no
369189,no
378202,no
293939,yes
404955,yes
353050,no
467892,no
73885,no
175714,no
378757,no
380248,no
452318,no
275005,yes
586940,no
46287,yes
115977,no
513233,no
512735,no
323774,no
581522,yes
463749,no
438622,no
49119,no
328239,no
200254,no
80147,no
536561,no
27992,no
548773,yes
365961,yes
198317,no
149234,yes
268099,no
82320,no
73727,yes
61840,no
476246,no
510644,no
386285,no
339683,no
402972,no
496327,no
561311,no
359887,yes
340355,no
544025,no
535554,no
182397,no
315149,no
449244,no
430645,yes
179209,no
462794,yes
403535,no
443460,no
94640,no
257512,yes
593144,no
145470,yes
445238,no
248967,yes
341282,no
28100,no
154882,yes
590080,no
340860,no
478226,no
315427,yes
397822,no
102580,yes
115606,no
486031,no
267275,no
403513,no
141821,no
427722,no
354512,no
316723,no
34986,no
389678,yes
248059,no
530551,no
555481,no
283875,yes
464461,no
387616,no
189382,no
530319,no
104052,no
544768,yes
70358,no
81778,yes
502399,yes
188914,no
128337,yes
418560,no
277291,no
584111,no
164287,yes
344515,yes
575616,no
582505,no
79850,yes
129765,no
420424,yes
590772,no
65030,no
576744,yes
244643,no
220008,no
355635,no
258845,no
316278,no
429529,no
354058,yes
324209,no
211487,no
82926,no
573405,yes
326865,no
204782,no
399283,no
476484,no
423051,yes
285763,yes
285079,no
42848,no
193331,no
288870,no
343535,no
188812,no
442569,yes
397336,no
175707,yes
350857,no
131104,no
211303,yes
460720,no
121264,no
218449,no
157639,no
247441,no
324074,no
29383,no
381959,no
163848,yes
403371,no
507957,no
101976,yes
371850,yes
139381,no
558379,no
290906,yes
294488,yes
505515,no
318295,no
428774,no
469239,no
169281,no
361609,no
571100,no
553502,no
296633,no
170084,no
5573,no
172364,no
174322,no
387015,no
49582,yes
498493,no
473337,no
227818,no
163850,no
434049,yes
72112,no
436300,no
145028,no
54825,no
137285,no
425256,no
389888,no
517166,yes
236729,no
103648,no
360533,no
585741,no
454849,no
334486,no
261894,yes
390787,yes
135272,no
203351,no
246747,no
518301,no
431423,no
528898,no
227700,yes
391378,no
530679,no
491792,no
548619,yes
26642,no
93792,no
259562,no
39227,yes
424952,yes
106154,no
340649,no
535815,no
492449,no
551671,no
27295,no
97168,no
57433,no
257555,yes
24570,yes
277742,no
141510,no
427472,no
460465,yes
117306,no
290806,yes
193193,no
436087,no
332139,no
230963,no
30514,yes
135168,yes
369984,no
114276,no
142899,no
269137,no
335996,no
25270,no
457230,no
272871,no
554370,yes
490691,no
260914,no
572604,yes
443330,yes
192804,no
265402,no
236252,no
12349,yes
110755,no
276861,no
299721,no
518332,no
4934,no
433505,yes
255944,yes
471440,yes
395898,yes
41190,no
86818,no
359021,no
191551,no
44404,yes
448860,yes
245886,yes
356971,yes
388562,no
310671,no
542981,no
346744,no
226297,no
403214,no
127072,yes
30368,no
285231,no
93431,yes
594877,no
260628,no
239332,no
338018,no
51741,yes
20764,yes
344995,no
277704,no
430913,no
113392,no
165780,yes
253931,no
55493,no
310059,no
176324,no
22568,no
180225,no
346414,no
498181,yes
301688,no
142915,no
399784,no
496087,no
155074,yes
18333,no
380333,no
591686,yes
480002,no
551825,no
19751,yes
199769,no
359574,no
266989,no
327576,yes
193511,no
154817,no
235268,no
417075,no
368487,no
581752,no
269242,no
399624,yes
295633,yes
541016,yes
506953,no
265647,yes
315490,no
134778,no
