yn,id,cg,eg,re,ms,fw,cl,hw,ra,nc,se,ag,wc,ne,oc,dr
no,177729,1.72215267336295,e2,pzv,lz,3.3297798,1.40620761932421,2.45,ojk,0.3,vrm,0.445419005930011,pv,kcr,ey,oi
no,513216,1.83435655317014,e2,wto,ls,3.2715818,1.41809801132634,3,kvy,1.2,vrm,0.399999810107415,xv,kcr,lr,oi
no,297005,1.61209225900026,e2,wib,kh,0.53675495,1.34726648997435,3,gmp,0,vrm,0.316233693171678,pv,ydq,al,oi
no,467346,1.62343219392123,e2,wib,kh,1.9234309,1.36193971539775,2.83,kvy,0.5,vrm,0.316233693171678,pv,ydq,ey,oi
no,229364,1.59074025016521,e2,wto,im,3.2654397,1.35833462460462,2.65,kvy,0,vrm,0.316233693171678,xv,jle,al,oi
yes,378290,1.92576433094028,e2,wto,ls,1.0988136,1.42566765443365,3.32,kvy,0.5,vrm,0.399999810107415,xv,jle,wg,oi
no,277687,2.0520218705824,e2,wto,ls,0.53424309,1.43473425735804,3.61,kvy,0.4,vrm,0.424268256506693,pv,kcr,ey,oi
no,133454,1.66845679930208,e2,wto,kh,0.88563535,1.36193971539775,3.32,kvy,0.2,vrm,0.316233693171678,pv,ydq,al,oi
no,427365,1.84040685288969,e2,wto,kh,0.16420104,1.31906116841411,3.61,kvy,0,vrm,0.374163042929554,xv,ydq,lr,oi
no,29985,1.68150041624772,e2,wib,ls,3.4281127,1.39077457234884,3,gmp,0.2,vrm,0.374163042929554,pv,ydq,ey,oi
no,15528,1.65988008529504,e6,ldi,kh,1.7741752,1.35833462460462,3.46,kvy,0,vrm,0.316233693171678,pv,rql,ey,oi
no,539685,1.69036458214752,e2,wto,hf,1.6425506,1.37013145801966,3.16,kvy,0.5,vrm,0.316233693171678,gf,ydq,al,oi
no,400420,1.98197632710802,e2,wto,lz,1.2245401,1.34670496421873,3.74,kvy,0.4,vrm,0.424268256506693,xv,ydq,lr,oi
no,536031,1.74280579964304,e2,pzv,ow,1.7724849,1.39432746911533,3.46,tdg,0.4,vrm,0.316233693171678,xv,ydq,lr,oi
no,102859,1.84563468397391,e2,ldi,lz,4.5252877,1.41964469102296,3.74,kvy,0.1,vrm,0.374163042929554,xv,jle,lr,qe
